"No.","Time","Source","Destination","Protocol","Length","Info"
"67","13.875432","127.0.0.1","127.0.0.1","LLC","53","U P, func=UP; DSAP 0x32 Individual, SSAP 0x32 Command"
"68","13.883756","127.0.0.1","127.0.0.1","LLC","53","I P, N(R)=55, N(S)=59; DSAP 0x46 Group, SSAP 0x46 Response"
"69","13.887489","127.0.0.1","127.0.0.1","LLC","58","I P, N(R)=55, N(S)=59; DSAP 0x46 Group, SSAP 0x46 Response"
"120","23.935846","127.0.0.1","127.0.0.1","LLC","53","S F, func=RR, N(R)=25; DSAP 0x38 Individual, SSAP 0x30 Response"
"121","23.939848","127.0.0.1","127.0.0.1","LLC","53","I P, N(R)=34, N(S)=55; DSAP 0x68 Group, SSAP ISO Network Layer (unofficial?) Command"
"122","23.948818","127.0.0.1","127.0.0.1","LLC","58","I P, N(R)=34, N(S)=55; DSAP 0x68 Group, SSAP ISO Network Layer (unofficial?) Command"
"165","34.020175","127.0.0.1","127.0.0.1","LLC","56","I P, N(R)=25, N(S)=26; DSAP 0x32 Group, SSAP ISO Network Layer (unofficial?) Response"
"166","34.021736","127.0.0.1","127.0.0.1","LLC","56","I, N(R)=33, N(S)=54; DSAP 0x78 Group, SSAP Spanning Tree BPDU Response"
"167","34.024099","127.0.0.1","127.0.0.1","LLC","61","I, N(R)=33, N(S)=54; DSAP 0x78 Group, SSAP Spanning Tree BPDU Response"
"218","44.073158","127.0.0.1","127.0.0.1","LLC","49","I, N(R)=28, N(S)=25; DSAP ISO Network Layer (unofficial?) Group, SSAP 0x30 Command"
"219","44.074723","127.0.0.1","127.0.0.1","LLC","49","U, func=Unknown; DSAP 0x6c Individual, SSAP 0x72 Response"
"220","44.077606","127.0.0.1","127.0.0.1","LLC","54","U, func=Unknown; DSAP 0x6c Individual, SSAP 0x72 Response"
"263","54.147038","127.0.0.1","127.0.0.1","LLC","50","I P, N(R)=28, N(S)=25; DSAP 0x30 Group, SSAP 0x32 Response"
"264","54.148634","127.0.0.1","127.0.0.1","LLC","50","U, func=RD; DSAP 0x58 Individual, SSAP 0x50 Response"
"265","54.150909","127.0.0.1","127.0.0.1","LLC","55","U, func=RD; DSAP 0x58 Individual, SSAP 0x50 Response"
"316","64.197929","127.0.0.1","127.0.0.1","LLC","61","S F, func=REJ, N(R)=25; DSAP 0x32 Group, SSAP 0x30 Response"
"317","64.199487","127.0.0.1","127.0.0.1","LLC","61","I, N(R)=60, N(S)=35; DSAP 0x32 Individual, SSAP 0x76 Command"
"318","64.201575","127.0.0.1","127.0.0.1","LLC","66","I, N(R)=60, N(S)=35; DSAP 0x32 Individual, SSAP 0x76 Command"
"367","74.251223","127.0.0.1","127.0.0.1","LLC","58","I P, N(R)=26, N(S)=25; DSAP 0x36 Group, SSAP 0x30 Response"
"368","74.252853","127.0.0.1","127.0.0.1","LLC","58","S, func=REJ, N(R)=36; DSAP 0x32 Individual, SSAP ISO Network Layer (unofficial?) Response"
"369","74.255334","127.0.0.1","127.0.0.1","LLC","63","S, func=REJ, N(R)=36; DSAP 0x32 Individual, SSAP ISO Network Layer (unofficial?) Response"
"424","84.310485","127.0.0.1","127.0.0.1","LLC","53","U P, func=UP; DSAP 0x36 Individual, SSAP 0x38 Command"
"425","84.312307","127.0.0.1","127.0.0.1","LLC","53","U, func=SARME; DSAP 0x58 Group, SSAP 0x30 Command"
"426","84.314546","127.0.0.1","127.0.0.1","LLC","58","U, func=SARME; DSAP 0x58 Group, SSAP 0x30 Command"
"478","94.373079","127.0.0.1","127.0.0.1","LLC","61","I P, N(R)=26, N(S)=26; DSAP 0x32 Individual, SSAP 0x30 Command"
"479","94.374658","127.0.0.1","127.0.0.1","LLC","61","I P, N(R)=39, N(S)=52; DSAP 0x32 Individual, SSAP Spanning Tree BPDU Command"
"480","94.376977","127.0.0.1","127.0.0.1","LLC","66","I P, N(R)=39, N(S)=52; DSAP 0x32 Individual, SSAP Spanning Tree BPDU Command"
"537","104.435494","127.0.0.1","127.0.0.1","LLC","36","I, N(R)=24, N(S)=26; DSAP ISO Network Layer (unofficial?) Individual, SSAP 0x38 Command"
"538","104.436945","127.0.0.1","127.0.0.1","LLC","35","[Malformed Packet]"
"539","104.439276","127.0.0.1","127.0.0.1","LLC","40","I, N(R)=16, N(S)=41; DSAP 0x50 Individual, SSAP 0x40 Response"
"589","114.503104","127.0.0.1","127.0.0.1","LLC","49","I P, N(R)=28, N(S)=28; DSAP 0x36 Group, SSAP 0x32 Response"
"590","114.504692","127.0.0.1","127.0.0.1","LLC","49","I, N(R)=56, N(S)=25; DSAP 0x4c Group, SSAP 0x4a Command"
"591","114.507190","127.0.0.1","127.0.0.1","LLC","54","I, N(R)=56, N(S)=25; DSAP 0x4c Group, SSAP 0x4a Command"
"638","124.577084","127.0.0.1","127.0.0.1","LLC","38","S P, func=REJ, N(R)=26; DSAP ISO Network Layer (unofficial?) Group, SSAP 0x38 Command"
"639","124.578562","127.0.0.1","127.0.0.1","LLC","37","I P, N(R)=32, N(S)=40; DSAP 0x48 Group, SSAP 0x4c Response"
"640","124.580704","127.0.0.1","127.0.0.1","LLC","42","I P, N(R)=32, N(S)=40; DSAP 0x48 Group, SSAP 0x4c Response"
"687","134.639884","127.0.0.1","127.0.0.1","LLC","60","S, func=RR, N(R)=24; DSAP 0x30 Group, SSAP 0x38 Command"
"688","134.642155","127.0.0.1","127.0.0.1","LLC","60","S, func=REJ, N(R)=43; DSAP 0x30 Group, SSAP 0x32 Command"
"689","134.644153","127.0.0.1","127.0.0.1","LLC","65","S, func=REJ, N(R)=43; DSAP 0x30 Group, SSAP 0x32 Command"
"734","144.726854","127.0.0.1","127.0.0.1","LLC","44","U P, func=Unknown; DSAP 0x36 Individual, SSAP 0x30 Command"
"735","144.728668","127.0.0.1","127.0.0.1","LLC","44","I P, N(R)=27, N(S)=28; DSAP 0x6e Group, SSAP ISO Network Layer (unofficial?) Command"
"736","144.730858","127.0.0.1","127.0.0.1","LLC","49","I P, N(R)=27, N(S)=28; DSAP 0x6e Group, SSAP ISO Network Layer (unofficial?) Command"
"787","154.819184","127.0.0.1","127.0.0.1","LLC","43","I, N(R)=26, N(S)=25; DSAP 0x36 Group, SSAP 0x38 Response"
"788","154.820730","127.0.0.1","127.0.0.1","LLC","43","U, func=UA; DSAP 0x64 Group, SSAP 0x52 Response"
"789","154.823015","127.0.0.1","127.0.0.1","LLC","48","U, func=UA; DSAP 0x64 Group, SSAP 0x52 Response"
"838","164.892623","127.0.0.1","127.0.0.1","LLC","39","I, N(R)=26, N(S)=28; DSAP 0x30 Group, SSAP 0x30 Command"
"839","164.894255","127.0.0.1","127.0.0.1","LLC","37","I P, N(R)=32, N(S)=40; DSAP 0x48 Group, SSAP 0x4c Response"
"840","164.896420","127.0.0.1","127.0.0.1","LLC","42","I P, N(R)=32, N(S)=40; DSAP 0x48 Group, SSAP 0x4c Response"
"891","174.957018","127.0.0.1","127.0.0.1","LLC","44","I, N(R)=27, N(S)=27; DSAP 0x32 Group, SSAP 0x30 Command"
"892","174.958597","127.0.0.1","127.0.0.1","LLC","44","S, func=RR, N(R)=54; DSAP EIA RS-511 Manufacturing Message Service Group, SSAP 0x74 Command"
"893","174.960900","127.0.0.1","127.0.0.1","LLC","49","S, func=RR, N(R)=54; DSAP EIA RS-511 Manufacturing Message Service Group, SSAP 0x74 Command"
"940","185.022095","127.0.0.1","127.0.0.1","LLC","38","S, func=REJ, N(R)=26; DSAP 0x38 Individual, SSAP 0x32 Response"
"941","185.023584","127.0.0.1","127.0.0.1","LLC","37","I P, N(R)=32, N(S)=40; DSAP 0x48 Group, SSAP 0x4c Response"
"942","185.025813","127.0.0.1","127.0.0.1","LLC","42","I P, N(R)=32, N(S)=40; DSAP 0x48 Group, SSAP 0x4c Response"
"989","195.070388","127.0.0.1","127.0.0.1","LLC","56","S, func=REJ, N(R)=27; DSAP 0x38 Individual, SSAP 0x36 Command"
"990","195.072132","127.0.0.1","127.0.0.1","LLC","56","S F, func=RNR, N(R)=38; DSAP 0x44 Group, SSAP 0x30 Response"
"991","195.074357","127.0.0.1","127.0.0.1","LLC","61","S F, func=RNR, N(R)=38; DSAP 0x44 Group, SSAP 0x30 Response"
"1042","205.139575","127.0.0.1","127.0.0.1","LLC","43","I P, N(R)=28, N(S)=28; DSAP ISO Network Layer (unofficial?) Group, SSAP 0x32 Response"
"1043","205.140990","127.0.0.1","127.0.0.1","LLC","43","I, N(R)=58, N(S)=45; DSAP 0x78 Group, SSAP ISO Network Layer (OSLAN 2) Command"
"1044","205.143174","127.0.0.1","127.0.0.1","LLC","48","I, N(R)=58, N(S)=45; DSAP 0x78 Group, SSAP ISO Network Layer (OSLAN 2) Command"
